time,humidity_mean,humidity_median,humidity_max,humidity_p75,tcc_mean,tcc_median,tcc_max,tcc_p75,temp_mean,temp_median,temp_max,temp_p75,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1,Kp,ap,SN,F10.7obs,F10.7adj,keogram_mean,keogram_median,keogram_max
2012/2/15 4:00,92.257164,92.36062622,96.09512329,95.03909302,0.275409877,0.148299068,0.774321437,0.4155415,-7.435787678,-7.272979736,-5.938812256,-6.776580811,0.003478408,0.002099463,0.011666706,0.003082939,0.0,5.333,56,22,54,104.6,100.7,93.54,239.45
2012/2/15 5:00,92.51611328,92.88999939,96.3533783,95.46836853,0.246763259,0.155037567,0.71617955,0.35604158,-8.170488358,-7.937835693,-6.772003174,-7.678314209,0.001034418,0.00021304,0.005461508,0.001139822,0.0,5.333,56,22,54,104.6,67.27,67.65,142.91
2012/2/15 6:00,92.36386108,92.76309204,96.46133423,95.20474243,0.301827312,0.224443212,0.750596762,0.554445028,-9.167836189,-8.884918213,-7.610198975,-8.66293335,0.000586912,8.98e-05,0.003641006,0.000198372,0.0,3.667,22,22,54,104.6,61.23,58.57,243.14
2012/2/15 7:00,92.59498596,93.77198792,96.42677307,95.31251526,0.284289896,0.11088562,0.824462891,0.471557617,-9.837412834,-9.336273193,-8.267242432,-9.180023193,0.000216117,0.0,0.001390261,0.000144035,0.0,3.667,22,22,54,104.6,117.87,118.4,248.73
2012/2/15 8:00,92.34664917,93.90356445,96.24731445,95.42626953,0.283665299,0.243337989,0.587240577,0.414389014,-10.52205086,-10.26571655,-8.456390381,-9.773040771,9.77e-05,0.0,0.000671833,8.98e-05,0.0,3.667,22,22,54,104.6,72.99,68.31,210.27
2012/2/15 9:00,92.58792114,94.88243103,96.79429626,95.83555603,0.510284722,0.455459893,0.929062188,0.873474419,-11.11921883,-10.52523804,-8.617767334,-10.40097046,6.82e-05,0.0,0.000391825,8.98e-05,0.0,3.333,18,22,54,104.6,52.36,48.01,189.11
2012/2/15 10:00,90.9803009,93.49787903,95.82771301,94.36872864,0.604447663,0.601317942,0.999999583,0.999999583,-11.38645744,-11.51925659,-8.571868896,-10.36959839,9.46e-05,0.0,0.000476837,0.000145432,0.0,3.333,18,22,54,104.6,89.67,73.78,248.96
2012/2/15 11:00,91.60096741,93.99609375,97.43676758,95.87133789,0.705555439,0.952340901,0.999994099,0.999994099,-11.9940691,-12.76376343,-8.697113037,-10.55209351,9.95e-05,0.0,0.00038703,0.000120795,0.0,3.333,18,22,54,104.6,144.28,144.83,249.07
2012/2/15 12:00,92.00582886,94.77340698,99.61227417,96.72555542,0.747675359,0.988982916,0.999999762,0.997466803,-11.34523869,-12.00411987,-7.846038818,-9.851409912,0.00029768,0.0,0.001308828,0.000387023,0.0,2.667,12,22,54,104.6,50.9,45.02,198.38
2012/2/15 13:00,91.54568481,94.47753906,100.8984375,97.31689453,0.81453681,0.967140019,1.000007391,0.995841801,-11.43826962,-11.86691284,-7.682952881,-9.805511475,0.000529826,0.0,0.002326793,0.000246044,0.0,2.667,12,22,54,104.6,76.29,61.75,234.83
2012/2/15 14:00,90.92945862,94.11288452,102.0450134,97.94198608,0.879892945,0.937649131,0.999996543,0.999996543,-11.66340828,-11.77890015,-7.861541748,-9.336639404,0.000659385,0.0,0.003340887,0.000379863,0.0,2.667,12,22,54,104.6,74.42,53.9,223.27
2012/2/15 15:00,89.68295288,93.84283447,101.7319946,97.87310791,0.655107319,0.672610879,1.000003457,0.998218179,-11.09522533,-11.36288452,-6.969818115,-8.903167725,0.000572175,0.0,0.002573186,0.000759726,0.0,3.0,15,22,54,104.6,105.96,92.1,241.84
2012/2/19 4:00,90.17805481,90.26228333,94.70246887,93.7447052,0.141286209,0.002044678,0.598388672,0.305419922,-14.23375797,-13.55569458,-11.36123657,-12.18826294,0.001704264,0.0,0.0069245,0.004024943,0.0,5.667,67,21,70,105.3,56.27,39.3,248.62
2012/2/19 5:00,90.9997406,91.25500488,94.49035645,94.09179688,0.144029409,0.0,0.559188843,0.306762695,-14.96141911,-14.35598755,-12.05960083,-13.43716431,0.001157253,0.0,0.004028901,0.003353111,0.0,5.667,67,21,70,105.3,96.25,84.59,249.07
2012/2/19 6:00,91.52816772,91.69161987,94.89486694,94.43112183,0.124693975,0.0,0.470588684,0.284049988,-15.48650455,-14.98959351,-12.46078491,-13.76217651,0.000769121,0.0,0.002502231,0.002189248,0.0,2.333,9,21,70,105.3,96.84,89.15,239.15
2012/2/19 7:00,91.57151794,91.91030884,95.37039185,94.42227173,0.133517802,0.002044678,0.474464417,0.320625305,-15.85826969,-15.50250244,-13.019104,-13.93414307,0.000272992,0.0,0.001004839,0.000774075,0.0,2.333,9,21,70,105.3,57.04,58.26,216.38
2012/2/19 8:00,91.92775726,92.26521301,96.06867981,94.8006134,0.121258207,0.0,0.44683075,0.290435791,-15.78645802,-15.53356934,-13.16638184,-14.13171387,0.000255242,0.0,0.000953674,0.000673754,0.0,2.333,9,21,70,105.3,29.45,31.94,168.4
2012/2/19 9:00,92.4227829,92.24209595,97.63980103,95.17666626,0.122514516,0.006118774,0.394340515,0.317596436,-18.3888588,-18.36532593,-16.38070679,-17.51693726,0.000267521,0.0,0.000953674,0.000774075,0.0,2.0,7,21,70,105.3,21.13,21.02,180.6
2012/2/19 10:00,91.33194733,90.93240356,98.09451294,95.90701294,0.117506236,0.020675659,0.400154114,0.26083374,-16.32124901,-16.45101929,-14.04037476,-14.64376831,0.00026204,0.0,0.000863976,0.00072291,0.0,2.0,7,21,70,105.3,17.04,18.01,136.38
2012/2/19 11:00,93.17623138,92.89785767,99.09414673,96.72036743,0.128902853,0.01550293,0.461479187,0.262504578,-17.81345367,-18.20652771,-15.49203491,-16.20333862,0.00029728,0.0,0.001109933,0.000813714,0.0,2.0,7,21,70,105.3,31.22,19.87,186.76
2012/2/19 12:00,93.70237732,93.71279907,99.25332642,97.26016235,0.170693293,0.030380249,0.536621094,0.379364014,-16.98699188,-17.18920898,-14.79333496,-15.07446289,0.00032973,0.0,0.001356006,0.00086386,0.0,1.333,5,21,70,105.3,33.03,33.11,159.46
2012/2/19 13:00,93.962677,94.07756042,99.99845886,98.54801941,0.206526861,0.097068787,0.476875305,0.446517944,-17.36845207,-17.77212524,-15.06790161,-15.212677,0.000353557,0.0,0.001758337,0.000774075,0.0,1.333,5,21,70,105.3,38.26,38.02,194.91
2012/2/19 14:00,94.02645111,94.35435486,100.6026459,99.06846619,0.294731975,0.376663208,0.691558838,0.499023438,-17.46735382,-17.98510742,-14.98425293,-15.13330078,0.00049663,0.0,0.001548557,0.00154812,0.0,1.333,5,21,70,105.3,38.32,37.49,177.64
2012/2/19 15:00,94.19017792,94.5993042,100.4606323,99.30853271,0.435012817,0.497375488,0.906082153,0.545455933,-17.95850182,-18.60874939,-15.24227905,-15.79672241,0.000352555,0.0,0.001548557,0.000200642,0.0,1.667,6,21,70,105.3,31.22,27.45,90.79
2012/2/19 16:00,94.23053741,95.00720215,100.6402588,99.48962402,0.565169513,0.608814716,0.868381977,0.67845583,-17.88212395,-18.68008423,-14.89480591,-15.52310181,0.000662161,0.0,0.00309624,0.001548149,0.0,1.667,6,21,70,105.3,31.77,28.03,149.32
2012/2/20 6:00,87.21092987,87.88166809,96.80305481,93.18684387,0.758180022,0.999999642,0.999999642,0.999999642,-16.08980942,-16.44061279,-11.13641357,-13.69451904,0.001220112,0.0,0.005390844,0.001476379,0.0,3.0,15,20,64,111.1,22.6,20.94,110.46
2012/2/20 7:00,86.97515106,87.14285278,96.55252075,93.87283325,0.698215485,0.980899811,1.000003815,1.000003815,-15.11889172,-15.4046936,-10.09561157,-12.4750061,0.000455759,0.0,0.002221845,0.000492146,0.0,3.0,15,20,64,111.1,57.17,39.36,249.07
2012/2/20 8:00,86.55238342,86.58444214,95.89596558,94.48434448,0.68615526,0.971967638,0.999998033,0.999998033,-15.3307991,-15.58798218,-10.19540405,-12.4480896,0.000187264,0.0,0.001110922,0.000246073,0.0,3.0,15,20,64,111.1,100.66,91.75,249.07
2012/2/20 9:00,86.51516724,86.52590942,96.01467896,95.23391724,0.640847921,0.877537191,0.989994466,0.989994466,-18.17925644,-18.60134888,-13.32571411,-15.26638794,8.28e-05,0.0,0.000387139,0.0,0.0,3.0,15,20,64,111.1,79.11,77.01,195.07
2012/2/20 10:00,83.43851471,82.89343262,96.20397949,95.67077637,0.655797005,0.805948555,0.98998481,0.976038277,-16.8516674,-17.14468384,-11.51187134,-13.61074829,9.4e-05,0.0,0.000387139,9.72e-05,0.0,3.0,15,20,64,111.1,74.15,61.3,237.68
2012/2/20 11:00,84.06206512,83.78146362,96.45040894,95.93624878,0.614267409,0.690496922,0.951025486,0.928656101,-16.87770081,-17.17085266,-11.25656128,-13.53146362,0.00020859,0.0,0.000774278,0.000246073,0.0,3.0,15,20,64,111.1,89.24,70.75,214.06
2012/2/20 12:00,84.22471619,83.44943237,96.412323,95.47677612,0.602933407,0.738836646,0.919577003,0.77974546,-16.40634537,-16.69641113,-10.48449707,-13.04089355,0.000199006,0.0,0.000774278,0.00029018,0.0,3.333,18,20,64,111.1,96.15,80.41,246.34
2012/2/20 13:00,84.33506775,83.32644653,96.20974731,95.8196106,0.541271329,0.598588407,0.983903348,0.881913602,-16.49043465,-16.65927124,-10.5718689,-13.03036499,0.000211285,0.0,0.000874381,0.00029018,0.0,3.333,18,20,64,111.1,90.91,67.22,215.55
2012/2/20 14:00,84.26522827,83.37417603,96.14370728,95.78823853,0.603914738,0.722602665,0.992240727,0.945167363,-16.52474403,-16.6031189,-10.87924194,-12.96566772,0.000383723,0.0,0.001548557,0.000492146,0.0,3.333,18,20,64,111.1,65.46,60.76,194.08
2012/2/20 15:00,84.26158142,83.7661438,96.23684692,95.78762817,0.630611241,0.859218419,0.999996006,0.989986241,-16.63959122,-16.74801636,-11.12203979,-13.03610229,0.000383723,0.0,0.001548557,0.000492146,0.0,3.333,18,20,64,111.1,57.98,55.22,160.39
