segment,mean,median,max
2023-02-08-3,46.39,37.39,223.18
2023-02-08-5,25.31,26.8,42.84
2023-02-08-6,19.05,20.46,32.46
2023-02-08-7,24.56,25.34,44.35
2023-02-08-8,55.28,56.44,130.45
2023-02-08-9,86.65,90.33,154.96
2023-02-08-10,64.25,67.88,94.52
2023-02-08-11,72.03,74.67,119.57
2023-02-08-12,107.31,112.05,205.84
2023-02-08-13,94.65,100.46,223.89
2023-02-08-14,72.29,75.54,146.92
2023-02-08-15,39.13,40.23,67.55
2023-02-08-16,43.0,35.04,96.31
2023-02-09-3,39.56,31.48,85.42
2023-02-09-4,21.26,19.4,132.74
2023-02-09-7,17.5,17.5,32.13
2023-02-09-8,61.98,51.09,212.54
2023-02-09-9,41.18,40.15,154.95
2023-02-09-10,42.3,39.86,198.19
2023-02-09-11,77.41,81.53,213.62
2023-02-09-12,84.86,85.4,195.89
2023-02-09-13,53.14,51.15,178.25
2023-02-09-14,36.27,34.86,221.54
2023-02-09-15,54.24,52.46,132.42
2023-02-09-16,60.01,58.03,180.64
2023-02-10-3,52.41,49.78,162.82
2023-02-10-4,20.09,23.16,72.67
2023-02-10-5,20.02,20.23,40.42
2023-02-10-6,23.1,23.23,53.24
2023-02-10-7,25.66,24.93,86.88
2023-02-10-8,37.92,32.23,144.44
2023-02-10-9,50.24,40.11,200.28
2023-02-10-10,58.6,44.82,209.55
2023-02-10-11,84.34,85.97,218.84
2023-02-10-12,80.61,69.18,209.55
2023-02-10-13,127.11,130.3,239.15
2023-02-10-14,66.71,57.39,223.89
2023-02-10-15,40.26,40.1,218.02
2023-02-10-16,52.67,51.75,152.4
2023-02-11-3,43.62,40.07,217.43
2023-02-11-5,26.34,22.47,201.95
2023-02-11-6,20.3,18.92,50.53
2023-02-11-7,18.72,19.08,40.88
2023-02-11-8,35.42,31.14,183.23
2023-02-11-9,58.3,55.12,189.23
2023-02-11-10,73.24,64.62,215.23
2023-02-11-11,72.13,63.85,217.98
2023-02-11-12,51.62,51.75,142.45
2023-02-11-13,40.77,38.59,84.61
2023-02-11-14,22.72,23.31,41.14
2023-02-11-16,36.44,26.42,130.54
2023-02-12-3,39.92,35.86,175.62
2023-02-12-7,37.77,28.75,209.25
2023-02-12-8,50.22,49.02,141.45
2023-02-12-9,25.69,24.95,111.6
2023-02-12-10,22.88,20.3,167.22
2023-02-12-11,42.65,38.18,188.76
2023-02-12-12,27.62,27.74,46.91
2023-02-12-13,19.65,19.02,37.97
2023-02-12-14,15.82,15.33,40.55
2023-02-12-15,30.03,30.21,47.42
2023-02-12-16,50.33,44.01,106.47
2023-02-13-3,34.77,31.58,72.98
2023-02-13-10,16.95,16.08,39.29
2023-02-13-11,34.4,26.81,76.17
2023-02-13-12,51.3,53.69,83.66
2023-02-13-13,22.48,20.25,49.52
2023-02-13-16,42.92,38.87,87.18
2023-02-14-3,31.75,29.67,65.88
2023-02-14-7,24.71,22.14,108.34
2023-02-14-8,49.16,40.88,196.07
2023-02-14-9,67.88,53.97,213.44
2023-02-14-10,82.06,71.5,232.87
2023-02-14-11,47.87,36.82,195.88
2023-02-14-12,22.17,18.8,77.15
2023-02-14-13,19.2,15.94,79.76
2023-02-14-16,39.27,36.23,126.11
2023-02-15-12,102.09,97.13,223.82
2023-02-15-13,60.49,50.62,202.1
2023-02-15-15,76.96,70.02,216.71
2023-02-15-16,124.38,133.21,239.45
2023-02-16-3,33.33,31.13,164.81
2023-02-16-4,16.46,15.12,55.59
2023-02-16-5,19.93,16.83,88.77
2023-02-16-6,65.14,40.38,248.18
2023-02-16-7,64.69,64.36,224.57
2023-02-16-9,98.13,95.64,249.07
2023-02-16-10,105.71,102.75,208.55
2023-02-16-12,32.07,30.6,84.62
2023-02-16-13,51.36,28.94,248.73
2023-02-16-14,113.69,109.5,238.0
2023-02-16-15,89.2,86.25,224.75
2023-02-16-16,90.48,101.17,234.39
2023-02-17-3,32.24,32.03,84.59
2023-02-17-10,30.85,30.47,194.3
2023-02-17-11,26.04,21.26,155.0
2023-02-17-15,21.72,19.09,63.1
2023-02-17-16,43.71,44.65,161.04
2023-02-18-3,28.51,28.17,70.02
2023-02-18-14,27.75,25.1,69.56
2023-02-18-16,38.17,37.8,86.64
2023-02-19-3,28.11,17.61,207.45
2023-02-19-9,25.02,15.91,187.89
2023-02-19-10,35.96,24.97,217.4
2023-02-19-11,29.06,27.1,190.65
2023-02-19-12,18.08,19.22,49.49
2023-02-19-13,56.45,56.84,104.96
2023-02-19-14,45.48,40.38,99.73
2023-02-19-15,25.34,24.96,46.43
2023-02-19-16,34.24,33.38,80.98
2023-02-20-8,14.9,15.52,27.48
2023-02-20-11,16.33,17.3,26.02
2023-02-20-15,18.93,19.88,37.71
2023-02-20-16,35.01,36.6,83.34
2023-02-21-7,23.11,23.74,42.58
2023-02-21-8,41.34,33.07,125.63
2023-02-21-9,87.96,79.33,206.86
2023-02-21-10,129.45,153.68,224.2
2023-02-21-11,66.82,37.94,219.12
2023-02-21-12,47.24,31.37,217.71
2023-02-21-13,27.06,25.58,66.58
2023-02-21-15,18.25,15.75,49.25
2023-02-21-16,33.29,32.26,95.28
2023-02-22-12,35.54,29.84,147.38
2023-02-22-13,42.47,40.01,182.15
2023-02-22-14,34.13,31.29,78.61
2023-02-22-15,30.07,27.72,96.26
2023-02-22-16,33.01,18.94,153.7
2023-02-23-4,25.94,17.25,128.87
2023-02-23-5,17.26,17.12,38.56
2023-02-23-6,16.04,16.35,38.68
2023-02-23-7,26.12,25.68,76.29
2023-02-23-8,70.63,66.31,196.99
2023-02-23-9,51.43,52.04,96.35
2023-02-23-10,53.97,53.77,122.24
2023-02-23-11,23.81,24.04,47.94
2023-02-23-12,22.42,20.68,51.45
2023-02-23-13,28.15,29.41,53.63
2023-02-23-14,29.67,30.02,52.44
2023-02-23-15,43.85,43.16,78.86
2023-02-23-16,50.23,56.03,224.48
2023-02-24-9,26.03,17.82,101.58
2023-02-25-8,24.82,22.67,112.15
2023-02-25-9,58.01,55.18,160.51
2023-02-25-10,56.07,45.47,199.93
2023-02-25-11,42.52,41.65,106.89
2023-02-25-12,25.76,26.17,51.58
2023-02-25-13,14.56,15.31,24.68
2023-02-25-14,23.1,21.0,55.39
2023-02-25-15,65.9,60.96,154.2
2023-02-26-4,39.04,32.29,222.13
2023-02-26-5,18.81,20.03,30.64
2023-02-26-6,19.74,21.31,29.19
2023-02-26-7,24.11,25.09,40.04
2023-02-26-8,61.08,31.5,195.86
2023-02-26-9,104.4,102.38,207.92
2023-02-26-10,39.7,39.61,95.81
2023-02-26-11,66.76,66.2,151.79
2023-02-26-12,56.38,58.5,121.03
2023-02-26-13,53.62,58.2,102.38
2023-02-26-14,38.26,33.59,88.92
2023-02-26-15,37.55,29.71,137.39
2023-02-27-4,65.48,58.02,247.7
2023-02-27-7,155.84,171.77,249.07
2023-02-27-8,91.63,89.49,225.4
2023-02-27-11,139.83,137.2,240.14
2023-02-27-12,90.78,83.96,249.07
2023-02-27-15,67.19,66.7,154.63
2023-02-28-4,67.66,66.25,200.04
2023-02-28-5,35.81,32.87,223.3
2023-02-28-6,27.96,26.95,120.72
2023-02-28-7,56.15,46.53,198.49
2023-02-28-8,74.43,58.87,222.41
2023-02-28-9,77.7,62.51,221.51
2023-02-28-10,23.82,22.45,123.87
2023-02-28-11,22.09,20.11,65.07
2023-02-28-12,24.28,23.87,99.91
2023-02-28-13,29.43,27.35,70.52
2023-02-28-14,37.38,38.46,71.3
2023-02-28-15,49.59,41.72,158.41
2023-03-01-4,51.97,46.1,105.64
2023-03-01-5,25.18,25.18,53.11
2023-03-01-6,25.58,26.44,222.71
2023-03-01-7,23.51,24.95,45.29
2023-03-01-8,20.99,22.43,31.19
2023-03-01-9,23.16,24.96,35.29
2023-03-01-10,29.01,29.0,69.23
2023-03-01-11,38.38,39.74,62.48
2023-03-01-12,31.81,31.88,67.91
2023-03-01-13,19.01,18.37,41.2
2023-03-01-15,37.25,27.36,127.91
2023-03-02-4,43.4,39.46,132.64
2023-03-02-5,25.54,25.3,63.56
2023-03-02-6,37.47,39.77,90.16
2023-03-02-7,44.6,48.34,224.48
2023-03-02-8,103.48,94.04,229.29
2023-03-02-9,95.7,79.34,239.15
2023-03-02-10,37.19,39.23,58.79
2023-03-02-11,44.7,40.07,147.71
2023-03-02-12,45.16,44.84,86.57
2023-03-02-13,29.99,31.38,49.84
2023-03-02-15,39.58,30.19,88.72
2023-03-03-4,51.36,51.87,81.6
2023-03-03-5,45.73,48.45,63.18
2023-03-03-6,59.59,62.29,186.87
2023-03-03-7,92.73,75.97,239.45
2023-03-03-8,127.23,127.26,239.45
2023-03-03-9,80.02,82.01,142.85
2023-03-03-10,59.02,46.25,211.64
2023-03-03-11,95.64,89.77,207.49
2023-03-03-12,89.52,90.73,172.29
2023-03-03-13,77.19,72.85,182.45
2023-03-03-14,36.36,38.43,70.32
2023-03-03-15,64.44,62.07,170.16
2023-03-04-4,43.88,43.5,131.44
2023-03-04-5,22.19,20.87,66.96
2023-03-04-6,32.27,28.07,123.2
2023-03-04-7,84.52,68.91,231.98
2023-03-04-8,69.04,55.89,224.48
2023-03-04-9,45.59,42.08,224.48
2023-03-04-10,74.94,70.53,208.06
2023-03-04-11,71.6,59.03,187.87
2023-03-04-12,47.78,48.02,138.0
2023-03-04-13,32.38,32.36,68.09
2023-03-04-14,33.39,32.32,84.61
2023-03-04-15,53.19,52.77,174.27
2023-03-05-4,49.25,49.72,196.45
2023-03-05-5,36.62,36.97,143.91
2023-03-05-6,29.25,27.09,64.86
2023-03-05-7,47.29,47.99,196.53
2023-03-05-8,132.7,131.63,239.45
2023-03-05-9,94.91,91.36,232.96
2023-03-05-10,73.43,56.45,239.15
2023-03-05-11,123.73,121.84,231.79
2023-03-05-12,86.57,87.89,163.51
2023-03-05-13,64.25,61.29,149.76
2023-03-05-14,63.28,62.62,145.34
2023-03-05-15,92.19,89.02,185.47
2023-03-06-4,64.26,55.79,224.48
2023-03-06-5,36.3,38.53,66.36
2023-03-06-6,42.45,45.38,65.6
2023-03-06-7,51.61,54.67,88.0
2023-03-06-8,65.26,67.05,144.1
2023-03-06-9,72.88,71.0,154.01
2023-03-06-10,72.94,62.7,224.48
2023-03-06-11,92.01,77.72,224.48
2023-03-06-12,67.64,68.89,165.52
2023-03-06-13,86.97,88.14,139.33
2023-03-06-14,61.42,62.96,105.89
2023-03-06-15,88.87,84.78,224.48
2023-03-07-4,60.43,54.0,224.48
2023-03-07-5,42.11,41.1,89.77
2023-03-07-6,62.95,60.61,150.36
2023-03-07-7,131.52,140.59,239.45
2023-03-07-8,185.21,206.97,239.45
2023-03-07-9,153.77,162.0,239.45
2023-03-07-10,107.9,107.39,216.84
2023-03-07-11,81.71,77.72,224.48
2023-03-07-12,88.7,90.51,216.84
2023-03-07-13,68.77,58.42,166.64
2023-03-07-14,40.28,35.95,110.44
2023-03-07-15,47.73,51.06,153.39
2023-03-08-4,32.17,28.81,143.34
2023-03-08-5,25.46,21.3,185.35
2023-03-08-6,46.25,35.65,205.14
2023-03-08-7,52.87,55.27,193.44
2023-03-08-8,52.45,56.1,74.85
2023-03-08-9,63.44,66.58,155.75
2023-03-08-10,121.2,119.4,236.12
2023-03-08-11,72.39,70.3,157.23
2023-03-08-12,52.69,46.92,224.48
2023-03-08-13,37.72,37.48,114.38
2023-03-08-14,30.13,30.21,63.96
2023-03-08-15,40.08,45.72,97.94
2023-03-09-4,39.76,20.44,224.48
2023-03-09-6,56.54,58.63,160.12
2023-03-09-7,32.38,31.97,67.59
2023-03-09-8,42.17,42.74,97.09
2023-03-09-9,29.06,30.72,45.77
2023-03-09-10,40.43,40.9,88.71
2023-03-09-11,38.11,37.88,74.61
2023-03-09-12,48.26,49.94,104.43
2023-03-09-13,41.46,41.89,79.11
2023-03-09-14,23.28,24.78,39.46
2023-03-09-15,44.18,46.3,109.23
2023-03-10-7,18.75,17.33,48.53
2023-03-10-8,20.53,19.37,58.33
2023-03-10-9,16.35,16.22,37.84
2023-03-10-10,16.77,15.55,42.23
2023-03-10-11,18.34,16.58,46.93
2023-03-10-12,18.49,16.59,58.35
2023-03-10-13,19.88,17.13,219.78
2023-03-10-14,24.32,22.57,202.76
2023-03-10-15,46.95,48.41,170.75
2023-03-11-5,19.81,18.07,62.46
2023-03-11-6,17.32,15.7,57.19
2023-03-11-7,18.12,17.01,65.6
2023-03-11-8,17.46,15.95,80.6
2023-03-11-9,18.97,16.83,110.37
2023-03-11-11,15.66,15.42,39.59
2023-03-11-12,17.11,16.74,50.28
2023-03-11-13,16.65,15.99,38.72
2023-03-11-14,22.63,19.62,209.21
2023-03-11-15,31.62,17.47,146.08
2023-03-12-8,82.97,70.14,220.62
2023-03-12-9,76.44,78.15,188.22
2023-03-12-10,71.89,64.51,189.62
2023-03-12-11,34.17,30.05,131.19
2023-03-12-12,26.71,26.46,68.55
2023-03-12-13,24.51,24.66,39.62
2023-03-12-14,28.96,27.55,79.28
2023-03-14-5,31.55,25.47,95.2
2023-03-14-6,39.11,33.77,160.2
2023-03-14-7,63.7,63.32,188.42
2023-03-14-8,58.36,45.27,230.48
2023-03-14-10,94.14,88.94,246.34
2023-03-14-11,143.76,140.34,249.07
2023-03-14-12,86.9,83.95,192.63
2023-03-14-13,58.35,49.65,165.56
2023-03-14-14,67.13,67.88,164.02
2023-03-15-5,74.95,78.11,145.07
2023-03-15-6,80.81,85.35,130.3
2023-03-15-7,87.52,86.62,249.07
2023-03-15-8,82.48,73.95,248.73
2023-03-15-10,134.13,137.94,247.93
2023-03-15-11,97.27,103.28,213.87
2023-03-15-12,50.45,49.3,131.37
2023-03-15-13,40.48,38.34,101.26
