segment,mean,median,max,sunlight_contamination
2019-01-01-0,0.00,0.00,0.00,0
2019-01-01-1,11.26,5.05,34.47,0
2019-01-01-2,6.50,5.51,27.21,0
2019-01-01-3,2.95,3.38,5.86,0
2019-01-01-4,3.00,3.38,14.00,0
2019-01-01-5,2.77,3.08,6.46,0
2019-01-01-6,6.81,7.04,14.28,0
2019-01-01-7,15.45,14.14,35.46,0
2019-01-01-8,32.40,32.58,132.97,0
2019-01-01-9,57.00,57.13,176.45,0
2019-01-01-10,57.79,56.30,152.45,0
2019-01-01-11,54.74,55.54,113.76,0
2019-01-01-12,30.94,30.60,68.20,0
2019-01-01-13,9.73,9.22,24.51,0
2019-01-01-14,5.45,6.04,10.01,0
2019-01-01-15,3.85,4.28,8.11,0
2019-01-01-16,3.44,3.98,6.70,0
2019-01-01-17,8.41,5.99,40.29,0
2019-01-01-18,19.54,0.00,83.88,0
2019-01-01-19,0.00,0.00,0.00,0
2019-01-01-20,0.00,0.00,0.00,0
2019-01-01-21,0.00,0.00,0.00,0
2019-01-01-22,0.00,0.00,0.00,0
2019-01-01-23,0.00,0.00,0.00,0
2019-01-02-0,0.00,0.00,0.00,0
2019-01-02-1,21.40,15.00,74.04,0
2019-01-02-2,5.98,4.69,25.05,0
2019-01-02-3,2.86,3.09,5.40,0
2019-01-02-4,2.72,2.91,4.99,0
2019-01-02-5,2.22,2.50,5.60,0
2019-01-02-6,2.10,2.38,4.59,0
2019-01-02-7,1.98,2.31,4.21,0
2019-01-02-8,1.44,1.49,3.79,0
2019-01-02-9,1.39,1.48,3.79,0
2019-01-02-10,2.10,2.31,4.57,0
2019-01-02-11,1.59,1.90,6.51,0
2019-01-02-12,0.00,0.00,0.00,0
2019-01-02-13,0.00,0.00,0.00,0
2019-01-02-14,0.00,0.00,0.00,0
2019-01-02-15,0.00,0.00,0.00,0
2019-01-02-16,0.00,0.00,0.00,0
2019-01-02-17,0.00,0.00,0.00,0
2019-01-02-18,0.00,0.00,0.00,0
2019-01-02-19,0.00,0.00,0.00,0
2019-01-02-20,0.00,0.00,0.00,0
2019-01-02-21,0.00,0.00,0.00,0
2019-01-02-22,0.00,0.00,0.00,0
2019-01-02-23,0.00,0.00,0.00,0
2019-01-04-0,0.00,0.00,0.00,0
2019-01-04-1,17.98,0.00,129.35,0
2019-01-04-2,9.31,5.78,114.69,0
