segment,mean,median,max
2021-01-01-0,0.00,0.00,0.00
2021-01-01-1,18.30,11.37,127.30
2021-01-01-2,9.46,7.76,84.38
2021-01-01-3,7.03,6.90,20.74
2021-01-01-4,9.18,8.58,24.18
2021-01-01-5,12.68,11.15,30.70
2021-01-01-6,16.11,15.76,29.66
2021-01-01-7,21.65,19.02,247.82
2021-01-01-9,19.96,20.90,29.32
2021-01-01-10,20.42,22.25,29.55
2021-01-01-11,19.99,21.06,30.00
2021-01-01-12,20.15,20.86,29.07
2021-01-01-15,19.71,20.87,27.80
2021-01-01-16,19.94,21.04,29.08
2021-01-01-17,20.44,20.97,33.81
2021-01-01-18,1.80,0.00,33.91
2021-01-01-19,0.00,0.00,0.00
2021-01-01-20,0.00,0.00,0.00
2021-01-01-21,0.00,0.00,0.00
2021-01-01-22,0.00,0.00,0.00
2021-01-01-23,0.00,0.00,0.00
2021-01-02-0,0.00,0.00,0.00
2021-01-02-1,17.17,0.00,123.78
2021-01-02-2,8.50,5.37,76.64
2021-01-02-3,3.65,3.98,9.15
2021-01-02-4,5.22,5.17,21.04
2021-01-02-5,7.59,7.01,25.78
2021-01-02-6,10.21,8.84,27.69
2021-01-02-7,11.82,10.11,29.66
2021-01-02-8,18.11,15.24,248.27
2021-01-02-9,17.68,15.51,248.84
2021-01-02-10,13.82,12.10,30.83
2021-01-02-11,12.01,11.96,28.92
2021-01-02-12,10.69,11.18,27.31
2021-01-02-13,9.91,10.10,27.79
2021-01-02-14,9.44,9.54,25.51
2021-01-02-15,9.00,9.05,19.51
2021-01-02-16,8.91,8.69,22.07
2021-01-02-17,20.10,14.57,137.79
2021-01-02-18,9.59,0.00,143.61
2021-01-02-19,0.00,0.00,0.00
2021-01-02-20,0.00,0.00,0.00
2021-01-02-21,0.00,0.00,0.00
2021-01-02-22,0.00,0.00,0.00
2021-01-02-23,0.00,0.00,0.00
2021-01-03-0,0.00,0.00,0.00
2021-01-03-1,16.03,0.00,127.30
2021-01-03-2,9.14,5.56,120.80
2021-01-03-3,2.85,3.09,6.29
2021-01-03-4,2.76,3.09,16.90
2021-01-03-5,3.99,4.17,9.49
2021-01-03-6,6.59,6.19,25.96
2021-01-03-7,10.08,8.50,26.59
2021-01-03-8,11.43,10.39,27.12
2021-01-03-9,15.09,15.58,224.23
2021-01-03-10,15.68,17.74,27.87
2021-01-03-11,15.74,18.33,27.23
2021-01-03-12,16.47,19.33,27.12
2021-01-03-13,17.66,20.65,27.82
2021-01-03-16,17.28,18.63,27.12
2021-01-03-17,22.88,20.63,61.91
2021-01-03-18,6.72,0.00,55.52
2021-01-03-19,0.00,0.00,0.00
2021-01-03-20,0.00,0.00,0.00
2021-01-03-21,0.00,0.00,0.00
2021-01-03-22,0.00,0.00,0.00
2021-01-03-23,0.00,0.00,0.00
2021-01-04-0,0.00,0.00,0.00
2021-01-04-1,17.52,0.00,104.68
2021-01-04-2,9.54,5.45,72.04
2021-01-04-3,2.80,3.09,5.10
2021-01-04-4,2.60,2.91,14.53
2021-01-04-5,2.85,3.09,16.08
2021-01-04-6,3.19,3.38,6.70
2021-01-04-7,4.45,4.58,9.78
2021-01-04-8,9.94,9.96,27.16
2021-01-04-9,16.47,15.39,34.63
2021-01-04-10,15.93,16.15,34.16
2021-01-04-11,15.90,16.49,28.29
2021-01-04-12,14.05,13.63,28.75
2021-01-04-13,7.10,7.00,25.37
2021-01-04-14,10.29,9.30,26.84
2021-01-04-15,6.73,6.03,20.88
2021-01-04-16,5.45,5.39,20.92
2021-01-04-17,17.12,9.82,224.48
2021-01-04-18,14.49,0.00,223.89
2021-01-04-19,0.00,0.00,0.00
2021-01-04-20,0.00,0.00,0.00
2021-01-04-21,0.00,0.00,0.00
2021-01-04-22,0.00,0.00,0.00
2021-01-04-23,0.00,0.00,0.00
2021-01-05-0,0.00,0.00,0.00
2021-01-05-1,16.45,0.00,127.30
2021-01-05-2,10.08,5.75,122.59
2021-01-05-3,2.42,2.50,13.63
2021-01-05-4,2.60,2.79,18.07
2021-01-05-5,3.09,3.28,19.66
2021-01-05-6,3.81,4.10,8.50
2021-01-05-7,3.29,3.51,10.05
2021-01-05-8,2.37,2.68,4.99
2021-01-05-9,3.46,3.51,10.09
2021-01-05-10,6.73,5.88,248.16
2021-01-05-11,9.68,8.20,27.00
2021-01-05-12,11.42,10.58,27.48
2021-01-05-13,89.59,88.14,227.27
2021-01-05-14,45.37,44.05,101.14
2021-01-05-15,34.34,36.05,67.72
2021-01-05-16,23.94,24.12,62.53
2021-01-05-17,25.85,20.95,222.71
2021-01-05-18,10.51,0.00,159.30
2021-01-05-19,0.00,0.00,0.00
2021-01-05-20,0.00,0.00,0.00
2021-01-05-21,0.00,0.00,0.00
2021-01-05-22,0.00,0.00,0.00
2021-01-05-23,0.00,0.00,0.00
2021-01-06-0,0.00,0.00,0.00
2021-01-06-1,13.98,0.00,126.41
2021-01-06-2,12.96,7.91,124.07
2021-01-06-3,6.99,4.80,47.23
2021-01-06-4,17.71,17.26,60.23
2021-01-06-5,4.51,4.68,23.04
2021-01-06-6,21.46,18.73,62.69
2021-01-06-7,30.51,31.20,72.67
2021-01-06-8,45.53,46.04,117.19
2021-01-06-9,86.52,76.64,233.47
2021-01-06-10,108.54,107.84,237.96
2021-01-06-11,72.52,73.28,243.26
2021-01-06-12,27.55,26.21,76.81
2021-01-06-13,50.30,38.31,186.46
2021-01-06-14,81.20,83.25,174.64
2021-01-06-15,48.31,46.86,107.25
2021-01-06-16,18.29,18.08,51.25
2021-01-06-17,26.69,19.80,222.13
2021-01-06-18,15.13,0.00,223.48
2021-01-06-19,0.00,0.00,0.00
2021-01-06-20,0.00,0.00,0.00
2021-01-06-21,0.00,0.00,0.00
2021-01-06-22,0.00,0.00,0.00
2021-01-06-23,0.00,0.00,0.00
2021-01-07-0,0.00,0.00,0.00
2021-01-07-1,14.29,0.00,128.17
2021-01-07-2,13.49,7.73,123.75
2021-01-07-3,3.95,4.38,15.40
2021-01-07-4,4.15,4.38,15.57
2021-01-07-5,4.35,4.68,21.54
2021-01-07-6,3.94,4.27,9.96
2021-01-07-7,4.32,4.67,8.33
2021-01-07-8,6.65,6.74,12.10
2021-01-07-9,6.47,6.74,12.63
2021-01-07-10,8.28,8.35,15.59
2021-01-07-11,17.76,19.41,36.46
2021-01-07-12,9.65,8.93,22.70
2021-01-07-13,5.42,5.86,9.64
2021-01-07-14,4.66,4.86,15.84
2021-01-07-15,4.83,5.05,8.06
2021-01-07-16,5.02,5.46,8.19
2021-01-07-17,19.80,11.05,220.95
2021-01-07-18,12.65,0.00,155.36
2021-01-07-19,0.00,0.00,0.00
2021-01-07-20,0.00,0.00,0.00
2021-01-07-21,0.00,0.00,0.00
2021-01-07-22,0.00,0.00,0.00
2021-01-07-23,0.00,0.00,0.00
2021-01-08-0,0.00,0.00,0.00
2021-01-08-1,11.70,0.00,73.06
2021-01-08-2,13.14,8.13,75.61
2021-01-08-3,3.92,4.38,7.06
2021-01-08-4,3.62,3.98,12.95
2021-01-08-5,3.88,4.28,11.46
2021-01-08-6,3.89,4.28,9.63
2021-01-08-7,3.81,4.28,6.46
2021-01-08-8,3.69,4.09,8.83
2021-01-08-9,3.85,4.27,8.78
2021-01-08-10,3.46,3.68,6.16
2021-01-08-11,3.32,3.61,6.46
2021-01-08-12,3.23,3.57,6.28
2021-01-08-13,2.86,3.20,6.37
2021-01-08-14,2.91,3.38,6.16
2021-01-08-15,3.33,3.68,6.88
2021-01-08-16,3.72,4.09,8.56
2021-01-08-17,16.98,8.79,160.06
2021-01-08-18,16.58,0.00,161.06
2021-01-08-19,0.00,0.00,0.00
2021-01-08-20,0.00,0.00,0.00
2021-01-08-21,0.00,0.00,0.00
2021-01-08-22,0.00,0.00,0.00
2021-01-08-23,0.00,0.00,0.00
2021-01-09-0,0.00,0.00,0.00
2021-01-09-1,10.77,0.00,129.35
2021-01-09-2,15.31,8.46,127.89
2021-01-09-3,4.26,4.67,18.12
2021-01-09-4,4.15,4.57,12.01
2021-01-09-5,4.00,4.27,22.46
2021-01-09-6,4.01,4.27,10.93
2021-01-09-7,3.66,3.97,6.16
2021-01-09-8,4.01,4.26,23.01
2021-01-09-9,5.22,5.44,10.89
2021-01-09-10,5.29,5.73,10.33
2021-01-09-11,3.93,4.14,10.66
2021-01-09-12,3.05,3.26,23.02
2021-01-09-13,2.82,2.90,17.04
2021-01-09-14,3.57,3.84,16.74
2021-01-09-15,4.20,4.57,9.75
2021-01-09-16,4.63,5.15,8.46
2021-01-09-17,13.32,8.16,69.04
2021-01-09-18,15.59,0.00,79.59
2021-01-09-19,0.00,0.00,0.00
2021-01-09-20,0.00,0.00,0.00
2021-01-09-21,0.00,0.00,0.00
2021-01-09-22,0.00,0.00,0.00
2021-01-09-23,0.00,0.00,0.00
2021-01-10-0,0.00,0.00,0.00
2021-01-10-1,13.53,0.00,63.72
2021-01-10-2,15.13,10.57,65.00
2021-01-10-3,5.68,6.05,18.64
2021-01-10-4,5.36,5.76,11.34
2021-01-10-5,5.44,5.94,18.53
2021-01-10-6,5.53,6.28,36.19
2021-01-10-7,4.75,5.16,10.27
2021-01-10-8,5.44,5.75,13.05
2021-01-10-9,5.93,6.45,12.57
2021-01-10-10,5.08,5.57,10.56
2021-01-10-11,10.72,10.94,22.27
2021-01-10-12,14.12,15.46,23.86
2021-01-10-13,11.35,12.19,21.22
2021-01-10-14,8.07,8.94,14.34
2021-01-10-15,6.57,7.16,12.34
2021-01-10-16,5.59,5.68,11.01
2021-01-10-17,21.09,12.67,222.13
2021-01-10-18,10.51,0.00,223.89
2021-01-10-19,0.00,0.00,0.00
2021-01-10-20,0.00,0.00,0.00
2021-01-10-21,0.00,0.00,0.00
2021-01-10-22,0.00,0.00,0.00
2021-01-10-23,0.00,0.00,0.00
2021-01-11-0,0.00,0.00,0.00
2021-01-11-1,10.80,0.00,130.23
2021-01-11-2,19.89,13.25,128.76
2021-01-11-3,6.88,7.34,22.02
2021-01-11-4,5.72,6.16,16.02
2021-01-11-5,5.78,6.16,17.75
2021-01-11-6,6.39,6.94,12.43
2021-01-11-7,6.41,6.94,12.03
2021-01-11-8,6.18,6.75,11.74
2021-01-11-9,7.12,7.63,15.44
2021-01-11-10,10.17,11.31,18.76
2021-01-11-11,14.59,15.49,28.28
2021-01-11-12,22.28,23.98,41.11
2021-01-11-13,34.62,36.57,69.38
2021-01-11-14,45.87,48.69,92.90
2021-01-11-15,84.87,88.06,178.23
2021-01-11-16,54.61,51.94,126.27
2021-01-11-17,29.10,30.75,61.68
2021-01-11-18,7.19,0.00,61.10
2021-01-11-19,0.00,0.00,0.00
2021-01-11-20,0.00,0.00,0.00
2021-01-11-21,0.00,0.00,0.00
2021-01-11-22,0.00,0.00,0.00
2021-01-11-23,0.00,0.00,0.00
2021-01-12-0,0.00,0.00,0.00
2021-01-12-1,7.71,0.00,125.28
2021-01-12-2,29.48,24.45,127.17
2021-01-12-3,20.38,15.42,60.86
2021-01-12-4,5.61,5.46,24.47
2021-01-12-5,8.29,7.35,33.93
2021-01-12-6,19.41,18.76,57.96
2021-01-12-7,9.43,9.42,21.05
2021-01-12-8,8.66,8.34,20.96
2021-01-12-9,19.86,18.34,51.19
2021-01-12-10,70.64,72.24,195.02
2021-01-12-11,37.15,38.56,82.71
2021-01-12-12,29.07,30.27,57.42
2021-01-12-13,19.41,19.75,44.97
2021-01-12-14,9.86,10.11,21.95
2021-01-12-15,7.20,7.35,13.67
2021-01-12-16,5.30,5.16,13.10
2021-01-12-17,23.46,14.32,222.13
2021-01-12-18,8.54,0.00,222.19
2021-01-12-19,0.00,0.00,0.00
2021-01-12-20,0.00,0.00,0.00
2021-01-12-21,0.00,0.00,0.00
2021-01-12-22,0.00,0.00,0.00
2021-01-12-23,0.00,0.00,0.00
2021-01-13-0,0.00,0.00,0.00
2021-01-13-1,4.84,0.00,128.17
2021-01-13-2,20.40,13.01,128.76
2021-01-13-3,4.77,4.98,15.70
2021-01-13-4,4.58,4.85,22.02
2021-01-13-5,4.23,4.57,9.01
2021-01-13-6,4.43,4.86,9.61
2021-01-13-7,4.53,5.04,9.78
2021-01-13-8,7.39,7.76,18.45
2021-01-13-9,40.07,37.87,108.10
2021-01-13-10,38.84,41.13,69.58
2021-01-13-11,44.89,47.53,133.09
2021-01-13-12,83.41,86.70,194.69
2021-01-13-13,39.31,40.15,77.19
2021-01-13-14,16.88,15.99,62.63
2021-01-13-15,8.42,8.05,19.93
2021-01-13-16,8.12,7.73,22.38
2021-01-13-17,27.34,17.77,223.30
2021-01-13-18,7.03,0.00,219.84
2021-01-13-19,0.00,0.00,0.00
2021-01-13-20,0.00,0.00,0.00
2021-01-13-21,0.00,0.00,0.00
2021-01-13-22,0.00,0.00,0.00
2021-01-13-23,0.00,0.00,0.00
2021-01-14-0,0.00,0.00,0.00
2021-01-14-1,3.17,0.00,129.94
2021-01-14-2,21.49,15.37,129.35
2021-01-14-3,6.67,7.17,15.69
2021-01-14-4,5.95,6.35,22.52
2021-01-14-5,5.43,5.75,11.01
2021-01-14-6,5.18,5.28,15.90
2021-01-14-7,4.50,4.58,9.60
2021-01-14-8,4.61,4.68,11.25
2021-01-14-9,4.65,4.75,9.37
2021-01-14-10,4.75,4.85,9.59
2021-01-14-11,4.50,4.55,10.24
2021-01-14-12,3.59,3.50,15.98
2021-01-14-13,3.57,3.67,20.80
2021-01-14-14,4.35,4.38,9.52
2021-01-14-15,5.07,5.27,9.78
2021-01-14-16,5.09,5.27,12.84
2021-01-14-17,24.70,14.73,222.71
2021-01-14-18,5.85,0.00,223.77
2021-01-14-19,0.00,0.00,0.00
2021-01-14-20,0.00,0.00,0.00
2021-01-14-21,0.00,0.00,0.00
2021-01-14-22,0.00,0.00,0.00
2021-01-14-23,0.00,0.00,0.00
2021-01-15-0,0.00,0.00,0.00
2021-01-15-1,3.59,0.00,129.22
2021-01-15-2,22.15,14.11,131.41
2021-01-15-3,4.51,4.69,17.17
2021-01-15-4,4.27,4.46,18.67
2021-01-15-5,4.24,4.39,9.09
2021-01-15-6,4.35,4.59,10.40
2021-01-15-7,4.07,4.29,8.79
2021-01-15-8,4.03,4.28,8.61
2021-01-15-9,4.26,4.58,9.08
2021-01-15-10,4.18,4.46,9.09
2021-01-15-11,4.08,4.39,9.08
2021-01-15-12,3.26,3.68,7.90
2021-01-15-13,2.44,2.50,7.19
2021-01-15-14,2.20,2.38,6.53
2021-01-15-15,2.33,2.50,6.76
2021-01-15-16,3.93,3.78,10.83
2021-01-15-17,18.28,14.35,42.57
2021-01-15-18,0.85,0.00,22.22
2021-01-15-19,0.00,0.00,0.00
2021-01-15-20,0.00,0.00,0.00
2021-01-15-21,0.00,0.00,0.00
2021-01-15-22,0.00,0.00,0.00
2021-01-15-23,0.00,0.00,0.00
2021-01-16-0,0.00,0.00,0.00
2021-01-16-1,0.21,0.00,12.46
2021-01-16-2,18.89,16.08,86.74
2021-01-16-3,4.31,4.51,19.75
2021-01-16-4,3.77,3.98,12.79
2021-01-16-5,3.45,3.69,8.24
2021-01-16-6,3.57,3.98,8.61
2021-01-16-7,3.81,3.98,8.68
2021-01-16-8,3.98,4.09,9.14
2021-01-16-9,3.82,3.91,8.07
2021-01-16-10,3.34,3.38,8.08
2021-01-16-11,3.08,3.08,8.36
2021-01-16-12,3.25,3.21,17.31
2021-01-16-13,4.18,4.28,23.53
2021-01-16-14,3.98,3.98,8.30
2021-01-16-15,3.96,3.98,9.08
2021-01-16-16,4.11,3.98,15.06
2021-01-16-17,19.45,16.23,136.75
2021-01-16-18,0.09,0.00,11.55
2021-01-16-19,0.00,0.00,0.00
2021-01-16-20,0.00,0.00,0.00
2021-01-16-21,0.00,0.00,0.00
2021-01-16-22,0.00,0.00,0.00
2021-01-16-23,0.00,0.00,0.00
2021-01-17-0,0.00,0.00,0.00
2021-01-17-1,0.00,0.00,0.00
2021-01-17-2,23.00,17.15,128.47
2021-01-17-3,4.49,4.58,17.17
2021-01-17-4,4.33,4.28,16.46
2021-01-17-5,4.17,4.28,9.79
2021-01-17-6,3.51,3.68,11.95
2021-01-17-7,3.51,3.68,7.90
2021-01-17-8,3.78,3.98,8.30
2021-01-17-9,3.89,3.98,9.20
2021-01-17-10,4.22,4.28,9.67
2021-01-17-11,4.02,4.09,9.27
2021-01-17-12,3.66,3.79,23.27
2021-01-17-13,4.30,4.39,10.75
2021-01-17-14,3.85,4.21,12.08
2021-01-17-15,4.14,4.39,9.68
2021-01-17-16,3.76,3.98,11.35
2021-01-17-17,17.33,14.96,44.47
2021-01-17-18,0.00,0.00,0.00
2021-01-17-19,0.00,0.00,0.00
2021-01-17-20,0.00,0.00,0.00
2021-01-17-21,0.00,0.00,0.00
2021-01-17-22,0.00,0.00,0.00
2021-01-17-23,0.00,0.00,0.00
2021-01-18-0,0.00,0.00,0.00
2021-01-18-1,0.00,0.00,0.00
2021-01-18-2,22.56,17.15,103.79
2021-01-18-3,3.95,3.98,20.25
2021-01-18-4,3.52,3.57,21.66
2021-01-18-5,4.07,4.09,8.60
2021-01-18-6,3.83,3.98,13.06
2021-01-18-7,4.10,4.28,8.78
2021-01-18-8,4.91,5.39,10.27
2021-01-18-9,4.58,4.75,9.56
2021-01-18-10,4.20,4.38,8.00
2021-01-18-11,4.07,4.27,8.80
2021-01-18-12,4.42,4.57,9.48
2021-01-18-13,5.45,6.05,20.80
2021-01-18-14,5.36,5.88,10.85
2021-01-18-15,4.73,4.99,9.50
2021-01-18-16,4.64,4.98,9.73
2021-01-18-17,25.00,11.93,137.58
2021-01-18-18,7.18,0.00,224.48
2021-01-18-19,0.00,0.00,0.00
2021-01-18-20,0.00,0.00,0.00
2021-01-18-21,0.00,0.00,0.00
2021-01-18-22,0.00,0.00,0.00
2021-01-18-23,0.00,0.00,0.00
2021-01-19-0,0.00,0.00,0.00
2021-01-19-1,0.00,0.00,0.00
2021-01-19-2,22.42,18.42,87.66
2021-01-19-3,5.52,5.58,16.82
2021-01-19-4,5.33,5.39,20.24
2021-01-19-5,6.06,6.58,11.28
2021-01-19-6,4.71,4.92,10.79
2021-01-19-7,4.72,4.88,9.87
2021-01-19-8,4.92,5.16,9.91
2021-01-19-9,5.07,5.45,10.26
2021-01-19-10,10.98,11.32,24.59
2021-01-19-11,19.53,19.30,47.20
2021-01-19-12,42.93,40.57,105.28
2021-01-19-13,15.34,16.48,29.04
2021-01-19-14,7.97,8.03,18.48
2021-01-19-15,3.97,4.27,9.54
2021-01-19-16,3.19,3.42,8.35
2021-01-19-17,16.62,12.93,45.04
2021-01-19-18,0.00,0.00,0.00
2021-01-19-19,0.00,0.00,0.00
2021-01-19-20,0.00,0.00,0.00
2021-01-19-21,0.00,0.00,0.00
2021-01-19-22,0.00,0.00,0.00
2021-01-19-23,0.00,0.00,0.00
2021-01-20-0,0.00,0.00,0.00
2021-01-20-1,0.00,0.00,0.00
2021-01-20-2,14.00,13.41,38.12
2021-01-20-3,8.07,8.31,15.91
2021-01-20-4,8.47,9.28,14.72
2021-01-20-5,7.14,7.48,12.89
2021-01-20-6,8.04,8.97,13.89
2021-01-20-7,15.84,12.66,45.99
2021-01-20-8,37.70,38.53,98.38
2021-01-20-9,49.74,51.84,116.44
2021-01-20-10,45.28,45.59,226.85
2021-01-20-11,95.57,101.75,207.32
2021-01-20-12,56.57,56.78,122.17
2021-01-20-13,25.64,24.57,66.29
2021-01-20-14,31.02,27.44,87.18
2021-01-20-15,25.93,25.07,63.68
2021-01-20-16,11.44,11.51,27.03
2021-01-20-17,22.60,18.59,148.14
2021-01-20-18,0.00,0.00,0.00
2021-01-20-19,0.00,0.00,0.00
2021-01-20-20,0.00,0.00,0.00
2021-01-20-21,0.00,0.00,0.00
2021-01-20-22,0.00,0.00,0.00
2021-01-20-23,0.00,0.00,0.00
2021-01-21-0,0.00,0.00,0.00
2021-01-21-1,0.00,0.00,0.00
2021-01-21-2,12.49,12.57,33.21
2021-01-21-3,12.95,13.64,26.10
2021-01-21-4,6.64,5.89,22.07
2021-01-21-5,5.02,5.10,23.27
2021-01-21-6,4.82,4.92,23.27
2021-01-21-7,4.76,4.80,23.38
2021-01-21-8,4.65,4.62,19.91
2021-01-21-9,4.76,4.51,13.29
2021-01-21-10,4.36,4.09,17.96
2021-01-21-11,3.69,3.57,20.60
2021-01-21-12,3.01,3.08,24.10
2021-01-21-13,2.55,2.50,20.63
2021-01-21-14,2.48,2.50,7.13
2021-01-21-15,2.69,2.79,7.13
2021-01-21-16,3.21,3.07,10.86
2021-01-21-17,22.78,18.59,125.29
2021-01-21-18,0.00,0.00,0.00
2021-01-21-19,0.00,0.00,0.00
2021-01-21-20,0.00,0.00,0.00
2021-01-21-21,0.00,0.00,0.00
2021-01-21-22,0.00,0.00,0.00
2021-01-21-23,0.00,0.00,0.00
2021-01-22-0,0.00,0.00,0.00
2021-01-22-1,0.00,0.00,0.00
2021-01-22-2,17.24,16.60,124.24
2021-01-22-3,7.77,7.60,28.35
2021-01-22-4,6.50,6.70,25.47
2021-01-22-5,6.59,6.82,15.75
2021-01-22-6,6.54,6.70,23.49
2021-01-22-7,8.91,8.13,24.65
2021-01-22-8,8.45,8.20,22.56
2021-01-22-9,9.56,9.68,19.48
2021-01-22-10,10.60,12.05,22.27
2021-01-22-11,7.30,8.07,15.74
2021-01-22-12,4.51,4.69,18.92
2021-01-22-13,3.90,4.16,8.91
2021-01-22-14,3.77,3.98,8.78
2021-01-22-15,4.25,4.28,10.09
2021-01-22-16,4.62,5.10,9.95
2021-01-22-17,17.90,14.44,50.00
2021-01-22-18,0.00,0.00,0.00
2021-01-22-19,0.00,0.00,0.00
2021-01-22-20,0.00,0.00,0.00
2021-01-22-21,0.00,0.00,0.00
2021-01-22-22,0.00,0.00,0.00
2021-01-22-23,0.00,0.00,0.00
2021-01-23-0,0.00,0.00,0.00
2021-01-23-1,0.00,0.00,0.00
2021-01-23-2,15.59,19.26,122.28
2021-01-23-3,13.03,12.70,29.41
2021-01-23-4,9.35,9.42,24.97
2021-01-23-5,15.01,15.44,27.23
2021-01-23-6,11.97,10.50,27.71
2021-01-23-7,8.51,8.82,26.87
2021-01-23-8,11.33,9.59,31.99
2021-01-23-9,20.01,20.91,32.98
2021-01-23-10,28.33,29.97,49.59
2021-01-23-11,17.24,17.51,33.46
2021-01-23-12,13.44,11.64,248.96
2021-01-23-13,8.38,6.76,245.77
2021-01-23-14,5.23,4.98,20.30
2021-01-23-15,4.10,4.09,9.12
2021-01-23-16,5.04,4.68,28.59
2021-01-23-17,18.55,16.11,145.14
2021-01-23-18,0.00,0.00,0.00
2021-01-23-19,0.00,0.00,0.00
2021-01-23-20,0.00,0.00,0.00
2021-01-23-21,0.00,0.00,0.00
2021-01-23-22,0.00,0.00,0.00
2021-01-23-23,0.00,0.00,0.00
2021-01-24-0,0.00,0.00,0.00
2021-01-24-1,0.00,0.00,0.00
2021-01-24-2,12.53,0.00,88.03
2021-01-24-3,15.68,14.39,32.24
2021-01-24-4,15.48,14.56,29.22
2021-01-24-5,14.68,15.03,28.29
2021-01-24-6,12.61,13.08,26.63
2021-01-24-7,14.27,14.58,30.24
2021-01-24-8,13.24,13.56,23.43
2021-01-24-9,11.01,11.19,27.12
2021-01-24-10,11.06,11.00,33.15
2021-01-24-11,11.29,10.72,34.09
2021-01-24-12,14.07,12.62,68.21
2021-01-24-13,28.92,26.23,248.39
2021-01-24-14,19.56,16.56,69.26
2021-01-24-15,18.75,16.96,67.21
2021-01-24-16,8.88,8.42,31.85
2021-01-24-17,20.25,18.20,145.14
2021-01-24-18,0.00,0.00,0.00
2021-01-24-19,0.00,0.00,0.00
2021-01-24-20,0.00,0.00,0.00
2021-01-24-21,0.00,0.00,0.00
2021-01-24-22,0.00,0.00,0.00
2021-01-24-23,0.00,0.00,0.00
2021-01-25-0,0.00,0.00,0.00
2021-01-25-1,0.00,0.00,0.00
2021-01-25-2,4.13,0.00,220.61
2021-01-25-7,148.11,155.07,249.07
2021-01-25-8,129.55,132.71,249.07
2021-01-25-9,132.98,135.15,248.84
2021-01-25-10,73.86,56.46,232.08
2021-01-25-11,48.68,40.82,233.81
2021-01-25-12,61.33,64.41,119.56
2021-01-25-13,59.47,58.52,219.00
2021-01-25-14,105.46,97.55,249.07
2021-01-25-15,71.49,66.04,182.26
2021-01-25-16,42.67,40.49,113.04
2021-01-25-17,32.30,34.50,171.56
2021-01-25-18,0.00,0.00,0.00
2021-01-25-19,0.00,0.00,0.00
2021-01-25-20,0.00,0.00,0.00
2021-01-25-21,0.00,0.00,0.00
2021-01-25-22,0.00,0.00,0.00
2021-01-25-23,0.00,0.00,0.00
2021-01-26-0,0.00,0.00,0.00
2021-01-26-1,0.00,0.00,0.00
2021-01-26-2,9.10,0.00,40.96
2021-01-26-3,27.58,25.79,249.07
2021-01-26-5,26.61,28.14,45.07
2021-01-26-6,22.77,22.68,39.85
2021-01-26-7,21.32,22.33,33.64
2021-01-26-8,22.39,23.53,37.81
2021-01-26-9,27.14,28.27,44.91
2021-01-26-10,28.51,29.03,45.70
2021-01-26-11,49.67,46.61,200.64
2021-01-26-12,41.88,40.89,82.82
2021-01-26-13,34.70,34.74,203.55
2021-01-26-14,36.36,34.51,239.35
2021-01-26-15,32.89,27.61,248.27
2021-01-26-16,24.14,22.46,79.96
2021-01-26-17,24.27,25.81,139.08
2021-01-26-18,0.00,0.00,0.00
2021-01-26-19,0.00,0.00,0.00
2021-01-26-20,0.00,0.00,0.00
2021-01-26-21,0.00,0.00,0.00
2021-01-26-22,0.00,0.00,0.00
2021-01-26-23,0.00,0.00,0.00
2021-01-27-0,0.00,0.00,0.00
2021-01-27-1,0.00,0.00,0.00
2021-01-27-2,9.89,0.00,89.29
2021-01-27-3,19.26,18.34,244.40
2021-01-27-4,25.69,23.76,248.96
2021-01-27-5,31.45,26.65,248.96
2021-01-27-6,21.51,21.93,34.32
2021-01-27-7,21.39,21.90,35.25
2021-01-27-8,25.85,27.22,38.92
2021-01-27-10,81.45,70.26,213.78
2021-01-27-11,98.99,98.45,212.84
2021-01-27-12,60.33,64.88,117.47
2021-01-27-13,75.48,79.80,146.36
2021-01-27-14,54.51,53.30,213.20
2021-01-27-15,48.40,46.49,247.25
2021-01-27-16,52.27,43.12,248.73
2021-01-27-17,27.05,26.80,149.30
2021-01-27-18,0.00,0.00,0.00
2021-01-27-19,0.00,0.00,0.00
2021-01-27-20,0.00,0.00,0.00
2021-01-27-21,0.00,0.00,0.00
2021-01-27-22,0.00,0.00,0.00
2021-01-27-23,0.00,0.00,0.00
2021-01-28-0,0.00,0.00,0.00
2021-01-28-1,0.00,0.00,0.00
2021-01-28-2,8.56,0.00,73.08
2021-01-28-3,22.51,22.14,75.07
2021-01-28-4,21.92,21.33,249.07
2021-01-28-5,31.73,26.77,248.96
2021-01-28-9,24.45,24.90,35.46
2021-01-28-10,26.61,28.60,36.16
2021-01-28-11,26.77,27.97,35.71
2021-01-28-12,26.14,27.20,35.58
2021-01-28-13,24.61,24.47,34.46
2021-01-28-14,23.85,23.83,38.72
2021-01-28-17,11.33,0.00,224.36
2021-01-28-18,0.00,0.00,0.00
2021-01-28-19,0.00,0.00,0.00
2021-01-28-20,0.00,0.00,0.00
2021-01-28-21,0.00,0.00,0.00
2021-01-28-22,0.00,0.00,0.00
2021-01-28-23,0.00,0.00,0.00
2021-01-29-0,0.00,0.00,0.00
2021-01-29-1,0.00,0.00,0.00
2021-01-29-2,38.36,0.00,224.48
2021-01-29-3,18.46,22.25,42.23
2021-01-29-14,23.31,24.29,32.81
2021-01-29-15,20.97,20.49,32.56
2021-01-29-16,20.57,20.21,34.21
2021-01-29-17,5.20,0.00,34.17
