segment,mean,median,max
2021-01-01-6,16.11,15.76,29.66
2021-01-01-7,21.65,19.02,247.82
2021-01-01-9,19.96,20.9,29.32
2021-01-01-10,20.42,22.25,29.55
2021-01-01-11,19.99,21.06,30.0
2021-01-01-12,20.15,20.86,29.07
2021-01-01-15,19.71,20.87,27.8
2021-01-01-16,19.94,21.04,29.08
2021-01-01-17,20.44,20.97,33.81
2021-01-02-8,18.11,15.24,248.27
2021-01-02-9,17.68,15.51,248.84
2021-01-03-9,15.09,15.58,224.23
2021-01-03-10,15.68,17.74,27.87
2021-01-03-11,15.74,18.33,27.23
2021-01-03-12,16.47,19.33,27.12
2021-01-03-13,17.66,20.65,27.82
2021-01-03-16,17.28,18.63,27.12
2021-01-03-17,22.88,20.63,61.91
2021-01-04-9,16.47,15.39,34.63
2021-01-04-10,15.93,16.15,34.16
2021-01-04-11,15.9,16.49,28.29
2021-01-05-13,89.59,88.14,227.27
2021-01-05-14,45.37,44.05,101.14
2021-01-05-15,34.34,36.05,67.72
2021-01-05-16,23.94,24.12,62.53
2021-01-05-17,25.85,20.95,222.71
2021-01-06-4,17.71,17.26,60.23
2021-01-06-6,21.46,18.73,62.69
2021-01-06-7,30.51,31.2,72.67
2021-01-06-8,45.53,46.04,117.19
2021-01-06-9,86.52,76.64,233.47
2021-01-06-10,108.54,107.84,237.96
2021-01-06-11,72.52,73.28,243.26
2021-01-06-12,27.55,26.21,76.81
2021-01-06-13,50.3,38.31,186.46
2021-01-06-14,81.2,83.25,174.64
2021-01-06-15,48.31,46.86,107.25
2021-01-06-16,18.29,18.08,51.25
2021-01-06-17,26.69,19.8,222.13
2021-01-07-11,17.76,19.41,36.46
2021-01-10-12,14.12,15.46,23.86
2021-01-11-11,14.59,15.49,28.28
2021-01-11-12,22.28,23.98,41.11
2021-01-11-13,34.62,36.57,69.38
2021-01-11-14,45.87,48.69,92.9
2021-01-11-15,84.87,88.06,178.23
2021-01-11-16,54.61,51.94,126.27
2021-01-11-17,29.1,30.75,61.68
2021-01-12-2,29.48,24.45,127.17
2021-01-12-3,20.38,15.42,60.86
2021-01-12-6,19.41,18.76,57.96
2021-01-12-9,19.86,18.34,51.19
2021-01-12-10,70.64,72.24,195.02
2021-01-12-11,37.15,38.56,82.71
2021-01-12-12,29.07,30.27,57.42
2021-01-12-13,19.41,19.75,44.97
2021-01-13-9,40.07,37.87,108.1
2021-01-13-10,38.84,41.13,69.58
2021-01-13-11,44.89,47.53,133.09
2021-01-13-12,83.41,86.7,194.69
2021-01-13-13,39.31,40.15,77.19
2021-01-13-14,16.88,15.99,62.63
2021-01-13-17,27.34,17.77,223.3
2021-01-14-2,21.49,15.37,129.35
2021-01-16-2,18.89,16.08,86.74
2021-01-16-17,19.45,16.23,136.75
2021-01-17-2,23.0,17.15,128.47
2021-01-18-2,22.56,17.15,103.79
2021-01-19-2,22.42,18.42,87.66
2021-01-19-11,19.53,19.3,47.2
2021-01-19-12,42.93,40.57,105.28
2021-01-19-13,15.34,16.48,29.04
2021-01-20-8,37.7,38.53,98.38
2021-01-20-9,49.74,51.84,116.44
2021-01-20-10,45.28,45.59,226.85
2021-01-20-11,95.57,101.75,207.32
2021-01-20-12,56.57,56.78,122.17
2021-01-20-13,25.64,24.57,66.29
2021-01-20-14,31.02,27.44,87.18
2021-01-20-15,25.93,25.07,63.68
2021-01-20-17,22.6,18.59,148.14
2021-01-21-17,22.78,18.59,125.29
2021-01-22-2,17.24,16.6,124.24
2021-01-23-2,15.59,19.26,122.28
2021-01-23-5,15.01,15.44,27.23
2021-01-23-9,20.01,20.91,32.98
2021-01-23-10,28.33,29.97,49.59
2021-01-23-11,17.24,17.51,33.46
2021-01-23-17,18.55,16.11,145.14
2021-01-24-5,14.68,15.03,28.29
2021-01-24-13,28.92,26.23,248.39
2021-01-24-14,19.56,16.56,69.26
2021-01-24-15,18.75,16.96,67.21
2021-01-24-17,20.25,18.2,145.14
2021-01-25-7,148.11,155.07,249.07
2021-01-25-8,129.55,132.71,249.07
2021-01-25-9,132.98,135.15,248.84
2021-01-25-10,73.86,56.46,232.08
2021-01-25-11,48.68,40.82,233.81
2021-01-25-12,61.33,64.41,119.56
2021-01-25-13,59.47,58.52,219.0
2021-01-25-14,105.46,97.55,249.07
2021-01-25-15,71.49,66.04,182.26
2021-01-25-16,42.67,40.49,113.04
2021-01-25-17,32.3,34.5,171.56
2021-01-26-3,27.58,25.79,249.07
2021-01-26-5,26.61,28.14,45.07
2021-01-26-6,22.77,22.68,39.85
2021-01-26-7,21.32,22.33,33.64
2021-01-26-8,22.39,23.53,37.81
2021-01-26-9,27.14,28.27,44.91
2021-01-26-10,28.51,29.03,45.7
2021-01-26-11,49.67,46.61,200.64
2021-01-26-12,41.88,40.89,82.82
2021-01-26-13,34.7,34.74,203.55
2021-01-26-14,36.36,34.51,239.35
2021-01-26-15,32.89,27.61,248.27
2021-01-26-16,24.14,22.46,79.96
2021-01-26-17,24.27,25.81,139.08
2021-01-27-3,19.26,18.34,244.4
2021-01-27-4,25.69,23.76,248.96
2021-01-27-5,31.45,26.65,248.96
2021-01-27-6,21.51,21.93,34.32
2021-01-27-7,21.39,21.9,35.25
2021-01-27-8,25.85,27.22,38.92
2021-01-27-10,81.45,70.26,213.78
2021-01-27-11,98.99,98.45,212.84
2021-01-27-12,60.33,64.88,117.47
2021-01-27-13,75.48,79.8,146.36
2021-01-27-14,54.51,53.3,213.2
2021-01-27-15,48.4,46.49,247.25
2021-01-27-16,52.27,43.12,248.73
2021-01-27-17,27.05,26.8,149.3
2021-01-28-3,22.51,22.14,75.07
2021-01-28-4,21.92,21.33,249.07
2021-01-28-5,31.73,26.77,248.96
2021-01-28-9,24.45,24.9,35.46
2021-01-28-10,26.61,28.6,36.16
2021-01-28-11,26.77,27.97,35.71
2021-01-28-12,26.14,27.2,35.58
2021-01-28-13,24.61,24.47,34.46
2021-01-28-14,23.85,23.83,38.72
2021-01-29-3,18.46,22.25,42.23
2021-01-29-14,23.31,24.29,32.81
2021-01-29-15,20.97,20.49,32.56
2021-01-29-16,20.57,20.21,34.21
2021-01-30-5,19.54,18.79,237.02
2021-01-30-6,35.68,29.67,225.16
2021-01-30-7,22.77,23.04,224.48
2021-01-30-8,24.6,24.72,248.84
2021-01-30-9,25.74,25.78,242.8
2021-01-30-10,47.32,42.07,214.82
2021-01-30-11,41.96,37.11,140.29
2021-01-30-12,57.76,45.34,220.82
2021-01-30-13,54.89,47.56,174.2
2021-01-30-14,43.36,43.65,111.98
2021-01-30-15,29.09,28.59,69.16
2021-01-30-16,23.22,21.05,134.93
2021-02-03-16,42.22,43.56,165.41
2021-02-04-12,28.28,30.11,54.52
2021-02-04-13,17.78,18.18,39.81
2021-02-05-13,38.71,38.97,100.02
2021-02-05-14,15.07,15.15,39.91
2021-02-06-13,17.05,17.33,36.67
2021-02-06-14,42.38,42.39,85.61
2021-02-06-15,34.32,31.53,86.01
2021-02-06-16,33.83,32.04,81.69
2021-02-07-3,17.0,18.49,38.19
