segment,mean,median,max,sunlight_contamination,dark_segment
2024-01-01-0,0.0,0.0,0.0,0,1
2024-01-01-1,36.49,35.8,161.14,0,0
2024-01-01-2,12.58,11.44,34.18,0,1
2024-01-01-3,9.6,9.7,32.5,0,1
2024-01-01-4,9.91,9.84,34.93,0,1
2024-01-01-5,11.02,10.45,35.17,0,1
2024-01-01-6,12.34,10.92,41.73,0,1
2024-01-01-7,14.78,11.93,35.39,0,1
2024-01-01-8,20.28,17.37,68.02,0,0
2024-01-01-9,24.02,22.88,88.8,0,0
2024-01-01-10,38.91,32.98,199.98,0,0
2024-01-01-11,32.4,29.92,195.61,0,0
2024-01-01-12,38.29,34.09,139.19,0,0
2024-01-01-13,19.47,16.7,44.05,0,0
2024-01-01-14,16.89,14.53,47.54,0,1
2024-01-01-15,21.05,17.57,223.3,0,0
2024-01-01-16,38.76,33.5,129.92,0,0
2024-01-01-17,42.26,36.46,160.25,0,0
2024-01-01-18,44.29,39.2,165.1,0,0
2024-01-01-19,0.0,0.0,0.0,0,1
2024-01-01-20,0.0,0.0,0.0,0,1
2024-01-01-21,0.0,0.0,0.0,0,1
2024-01-01-22,0.0,0.0,0.0,0,1
2024-01-01-23,0.0,0.0,0.0,0,1
2024-01-02-0,0.0,0.0,0.0,0,1
2024-01-02-1,38.2,38.29,224.48,0,0
2024-01-02-2,15.76,12.71,148.14,0,1
2024-01-02-3,12.83,10.57,39.33,0,1
2024-01-02-4,13.84,12.92,33.81,0,1
2024-01-02-5,13.35,11.57,35.68,0,1
2024-01-02-6,12.39,10.96,58.76,0,1
2024-01-02-7,14.13,12.35,54.61,0,1
2024-01-02-8,18.13,14.45,195.5,0,1
2024-01-02-9,23.48,24.03,189.56,0,0
2024-01-02-10,17.0,17.38,112.34,0,0
2024-01-02-11,20.48,15.61,151.88,0,0
2024-01-02-12,29.81,27.19,134.22,0,0
2024-01-02-13,21.41,20.26,49.73,0,0
2024-01-02-14,22.46,21.74,54.08,0,0
2024-01-02-15,31.08,30.39,73.63,0,0
2024-01-02-16,21.72,19.92,219.78,0,0
2024-01-02-17,22.97,18.07,159.84,0,0
2024-01-02-18,36.68,32.45,164.83,0,0
2024-01-02-19,0.0,0.0,0.0,0,1
2024-01-02-20,0.0,0.0,0.0,0,1
2024-01-02-21,0.0,0.0,0.0,0,1
2024-01-02-22,0.0,0.0,0.0,0,1
2024-01-02-23,0.0,0.0,0.0,0,1
2024-01-03-0,0.0,0.0,0.0,0,1
2024-01-03-1,35.75,35.09,235.0,0,0
2024-01-03-2,14.76,11.93,142.52,0,1
2024-01-03-3,9.47,9.32,63.64,0,1
2024-01-03-4,9.38,9.05,23.46,0,1
2024-01-03-5,9.93,9.22,30.32,0,1
2024-01-03-6,10.7,9.69,60.67,0,1
2024-01-03-7,11.21,10.01,30.46,0,1
2024-01-03-8,12.72,10.88,27.68,0,1
2024-01-03-9,24.66,17.04,211.05,0,0
2024-01-03-10,45.43,44.5,191.61,0,0
2024-01-03-11,35.27,34.81,184.45,0,0
2024-01-03-12,23.26,23.03,72.73,0,0
2024-01-03-13,19.03,18.2,40.24,0,0
2024-01-03-14,19.98,20.31,40.41,0,0
2024-01-03-15,18.12,16.02,50.44,0,0
2024-01-03-16,14.61,12.45,48.42,0,1
2024-01-03-17,23.82,18.5,220.95,0,0
2024-01-03-18,36.79,34.62,167.49,0,0
2024-01-03-19,0.0,0.0,0.0,0,1
2024-01-03-20,0.0,0.0,0.0,0,1
2024-01-03-21,0.0,0.0,0.0,0,1
2024-01-03-22,0.0,0.0,0.0,0,1
2024-01-03-23,0.0,0.0,0.0,0,1
2024-01-04-0,0.0,0.0,0.0,0,1
2024-01-04-1,34.5,35.02,223.89,0,0
2024-01-04-2,16.66,13.4,215.08,0,1
2024-01-04-3,10.64,10.41,20.2,0,1
2024-01-04-4,10.69,10.56,23.49,0,1
2024-01-04-5,10.0,9.97,19.25,0,1
2024-01-04-6,9.64,9.23,61.9,0,1
2024-01-04-7,10.61,9.55,35.95,0,1
2024-01-04-8,11.61,10.75,67.92,0,1
2024-01-04-9,11.61,11.65,61.77,0,1
2024-01-04-10,13.51,12.84,96.85,0,1
2024-01-04-11,11.94,11.7,31.53,0,1
2024-01-04-12,10.16,10.23,30.88,0,1
2024-01-04-13,9.22,9.29,33.01,0,1
2024-01-04-14,8.75,8.93,32.07,0,1
2024-01-04-15,9.11,9.48,21.27,0,1
2024-01-04-16,12.01,12.74,18.22,0,1
2024-01-04-17,14.02,12.09,52.8,0,1
2024-01-04-18,30.84,31.57,161.18,0,0
2024-01-04-19,0.0,0.0,0.0,0,1
2024-01-04-20,0.0,0.0,0.0,0,1
2024-01-04-21,0.0,0.0,0.0,0,1
2024-01-04-22,0.0,0.0,0.0,0,1
2024-01-04-23,0.0,0.0,0.0,0,1
2024-01-06-0,0.0,0.0,0.0,0,1
2024-01-06-1,31.6,30.02,224.48,0,0
2024-01-06-2,17.12,12.69,222.13,0,1
2024-01-06-3,9.19,9.06,16.97,0,1
2024-01-06-4,8.9,8.76,15.24,0,1
2024-01-06-5,8.62,8.52,16.23,0,1
2024-01-06-6,8.45,8.48,61.44,0,1
2024-01-06-7,8.44,8.46,14.36,0,1
2024-01-06-8,8.7,8.61,17.5,0,1
2024-01-06-9,9.28,9.11,22.02,0,1
2024-01-06-10,10.48,9.54,117.07,0,1
2024-01-06-11,11.19,9.74,41.64,0,1
2024-01-06-12,9.93,9.15,41.06,0,1
2024-01-06-13,9.15,8.88,19.49,0,1
2024-01-06-14,8.79,8.88,14.71,0,1
2024-01-06-15,8.74,8.82,14.59,0,1
2024-01-06-16,8.67,8.76,14.06,0,1
2024-01-06-17,0.0,0.0,0.0,0,1
2024-01-06-18,0.0,0.0,0.0,0,1
2024-01-06-19,0.0,0.0,0.0,0,1
2024-01-06-20,0.0,0.0,0.0,0,1
2024-01-06-21,0.0,0.0,0.0,0,1
2024-01-06-22,0.0,0.0,0.0,0,1
2024-01-06-23,0.0,0.0,0.0,0,1
2024-01-08-0,0.0,0.0,0.0,0,1
2024-01-08-1,28.14,25.2,153.67,0,0
2024-01-08-2,12.86,11.05,40.36,0,1
2024-01-08-3,8.93,9.18,30.34,0,1
2024-01-08-4,9.98,9.4,34.74,0,1
2024-01-08-5,9.21,8.89,34.09,0,1
2024-01-08-6,8.29,8.29,31.0,0,1
2024-01-08-7,7.98,8.19,30.13,0,1
2024-01-08-8,7.88,8.11,30.28,0,1
2024-01-08-9,7.69,8.05,32.44,0,1
2024-01-08-10,7.88,8.39,11.39,0,1
2024-01-08-11,8.39,8.89,12.5,0,1
2024-01-08-12,11.26,11.45,21.52,0,1
2024-01-08-13,16.84,17.22,27.92,0,0
2024-01-08-14,14.43,13.64,28.03,0,1
2024-01-08-15,8.6,9.11,12.56,0,1
2024-01-08-16,7.96,8.52,11.32,0,1
2024-01-08-17,14.15,10.96,73.08,0,1
2024-01-08-18,30.02,20.74,163.88,0,0
2024-01-08-19,0.0,0.0,0.0,0,1
2024-01-08-20,0.0,0.0,0.0,0,1
